"%s Item(s)","%s Item(s)"
"%s-%s of %s","%s-%s of %s"
"&copy; 2014 Magento Demo Store. All Rights Reserved.","&copy; 2014 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"-- Please Select --","-- Please Select --"
"1 column","1 column"
"2 columns with left bar","2 columns with left bar"
"2 columns with right bar","2 columns with right bar"
"3 columns","3 columns"
"About the calendar","About the calendar"
"Account","Account"
"All Empty Layout Pages","All Empty Layout Pages"
"All One-Column Layout Pages","All One-Column Layout Pages"
"All Pages","All Pages"
"All Pages (Print Version)","All Pages (Print Version)"
"All Three-Column Layout Pages","All Three-Column Layout Pages"
"All Two-Column Layout Pages (Left Column)","All Two-Column Layout Pages (Left Column)"
"All Two-Column Layout Pages (Right Column)","All Two-Column Layout Pages (Right Column)"
"Allow","Allow"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Close"
"Close Window","Close Window"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Date selection:"
"Default Description","Default Description"
"Default welcome msg!","Default welcome msg!"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"Empty","Empty"
"For latest version visit: %s","For latest version visit: %s"
"Free Shipping on orders over 50$","Free Shipping on orders over 50$"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Interface Language","Interface Language"
"Items %s to %s of %s total","Items %s to %s of %s total"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"Left Column","Left Column"
"Left Column First (shows above main column on smaller screens)","Left Column First (shows above main column on smaller screens)"
"Main Content Area","Main Content Area"
"Menu","Menu"
"Navigation Bar","Navigation Bar"
"Next","Next"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page Bottom","Page Bottom"
"Page Footer","Page Footer"
"Page Header","Page Header"
"Page Top","Page Top"
"Page:","Page:"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous","Previous"
"Redirecting...","Redirecting..."
"Report All Bugs","Report All Bugs"
"Results per page","Results per page"
"Right Column","Right Column"
"Search","Search"
"Select Store","Select Store"
"Select Store:","Select Store:"
"Select date","Select date"
"Show","Show"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","This is a demo store. Any orders placed through this store will not be honored or fulfilled."
"Time selection:","Time selection:"
"Time:","Time:"
"View All","View All"
"Welcome, %s!","Welcome, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","You must have JavaScript enabled in your browser to utilize the functionality of this website."
"Your Language","Your Language"
"Your Language:","Your Language:"
"per page","per page"
"UOMO","MAN"
"DONNA","WOMAN"
"CONTATTI","CONTACTS"
"Inserisci la tua email","Enter your email address"
"Iscriviti","Subscribe"
"uomo","man"
"donna","woman"
"Uomo / Donna","Man / Woman"
"contatta la boutique","contact the boutique"
"Orari di apertura","Opening times"
"Uomo / Donna / Accessori","Man / Woman / Accessories"
"seleziona","select"
"Selezione dei migliori brands","Selection of the best brands"
"Disponibile in Boutique & shop online","Available in Boutique & shop online"
"Brand disponibile nelle boutiques di","Brand available in boutiques"
"vai allo shop","go to shop"
"Trova la boutique più vicina a te","Find the nearest boutique"
"Uomo","Man"
"Donna","Woman"
"abbigliamento","clothing"
"accessori","accessories"
"borse","bags"
"calzature","shoes"
"I Brand più cercati","Most viewed Brands"
"Categorie più cercate","Most viewed Categories"
"Gli Articoli più cercati","Most viewed Products"
"Non hai trovato quello che cercavi?","Don't you find what you are looking for?"
"Contatta via mail il servizio clienti all'indirizzo <a href='mailto:support@coltortiboutique.com'>support@coltortiboutique.com</a> o chatta con un nostro operatore","Contact to customer care team at <a href='mailto:support@coltortiboutique.com'>support@coltortiboutique.com</a> or chat with our operator"
"CERCA","SEARCH"
"Fendi Donna","Women's Fendi"
"Saint Laurent Donna","Women's Saint Laurent"
"Valentino Donna","Women's Valentino"
"Dolce & Gabbana Uomo","Men's Dolce & Gabbana"
"Dsquared2 Uomo","Men's Dsquared2"
"Borse Donna","Women's Bags"
"Calzature Donna","Women's Shoes"
"Abiti Donna","Women's Dresses"
"Capispalla Uomo","Men's Outerwear"
"Jeans Uomo","Men's Jeans"
"Categoria","Category"
"Torna a","Back to"
"Filtra per:","Filter by:"
"A causa di un aggiornamento strutturale, si potranno verificare disservizi dalle 17 alle 21","Due to maintenance, they could be malfunctions from 5pm to 9pm"
"Forme lineari, materiali di prestigio, atmosfere sofisticate;<br>gli spazi delle boutique Coltorti sono la perfetta sintesi di uno stile chic e contemporaneo.","Linear shapes, prestigious materials, sophisticated atmospheres,<br>Coltorti boutiques are the perfect mix between a chich and modern style."
"Spedizione express gratuita su tutti gli ordini superiori a €500 fino al 27 ottobre","Free express shipping on all orders over €500 till 27th October"
