"Add new LDV range","Aggiungi nuovo intervallo di LDV"
"Category Unique Code","Codice Univoco Categoria"
"Created At","Data Creazione"
"created_at","Data creazione"
"From number (included)","Da numero (incluso)"
"Generate LDV","Genera LDV"
"Generate","Genera"
"Item does not exist","Elemento inesistente"
"Level","Livello"
"locationID","ID localita'"
"Menu Item","Elemento Menu"
"Notification level","Livello di riserva"
"phoneExtension","Interno"
"residentialAddressIndicator","Indicatore residenziale"
"Sales","Vendite"
"Sender Reference","Riferimento Mittente"
"Shipment Increment Id","Progressivo Spedizione"
"Sort order","Ordine"
"Status","Stato"
"taxIdentificationNumber","Id tasse"
"Title","Titolo"
"Tnt failed.","Tnt : errore"
"Tnt TEST failed.","UnitTest TNT Fallito"
"To number (included)","A numero (incluso)"
"Type","Tipo"
"Url Key","Chiave Url"
"Usable","Utilizzabile"
"Used","Usato"
"used_at","Data utilizzo"
"Array('S','M','T','W','T','F','S')","Array('D','L','M','M','G','V','S')"
"January","Gennaio"
"February","Febbraio"
"March","Marzo"
"April","Aprile"
"May","Maggio"
"June","Giugno"
"July","Luglio"
"August","Agosto"
"September","Settembre"
"October","Ottobre"
"November","Novembre"
"December","Dicembre"
"Monday","Lunedì"
"Tuesday","Martedì"
"Wednesday","Mercoledì"
"Thursday","Giovedì"
"Friday","Venerdì"
"Saturday","Sabato"
"Sunday","Domenica"
